iter	MultiClass
0	1.053129062
1	1.012745997
2	0.9791592465
3	0.95017797
4	0.9207055833
5	0.8941036358
6	0.8662752167
7	0.8420975603
8	0.8179844452
9	0.7988924765
10	0.7770765275
11	0.7592161421
12	0.7451273576
13	0.7284980425
14	0.7123013667
15	0.700724731
16	0.687712414
17	0.6734416676
18	0.6623677998
19	0.647220756
20	0.6365285321
21	0.6239675874
22	0.6117599736
23	0.6031662516
24	0.5937691595
25	0.5851497631
26	0.5768967437
27	0.5699219881
28	0.5614493229
29	0.5534710686
30	0.546398167
31	0.539913744
32	0.5332081304
33	0.5239870407
34	0.5182261102
35	0.5119569077
36	0.5009882787
37	0.4956374648
38	0.4907459641
39	0.4847268865
40	0.4808103099
41	0.4753623475
42	0.4682418413
43	0.4629059518
44	0.4586742202
45	0.4525959646
46	0.4479730178
47	0.4424493317
48	0.4362055
49	0.4313544187
50	0.4258274074
51	0.4208814784
52	0.4152022235
53	0.411401534
54	0.4082388127
55	0.4035908453
56	0.4007264128
57	0.3943548526
58	0.3903354321
59	0.3844959933
60	0.3803165148
61	0.3771696884
62	0.3736159662
63	0.3707065661
64	0.3692714083
65	0.3634439204
66	0.3575283439
67	0.3543838878
68	0.3511423983
69	0.3479073105
70	0.3454539375
71	0.3406122693
72	0.3386585808
73	0.3352320762
74	0.3319041634
75	0.3277801712
76	0.3263954184
77	0.3233715093
78	0.3207428822
79	0.3186353443
80	0.3147659105
81	0.3116336202
82	0.3070138142
83	0.303040778
84	0.299700229
85	0.2952858839
86	0.292455855
87	0.2898564274
88	0.2875846407
89	0.2850055678
90	0.2822282164
91	0.2796598457
92	0.2768691581
93	0.2729940897
94	0.2703048692
95	0.2675084966
96	0.2647091541
97	0.2625090802
98	0.2603470138
99	0.2576009951
100	0.2532366493
101	0.2511028657
102	0.2482482101
103	0.2451949888
104	0.2438027396
105	0.2420770881
106	0.240374076
107	0.2380709377
108	0.2349841247
109	0.2326794949
110	0.2305554388
111	0.2282474609
112	0.2262391089
113	0.2240299629
114	0.221426069
115	0.2195125363
116	0.2168702995
117	0.2149847235
118	0.2133196026
119	0.2110050783
120	0.2088838309
121	0.207308763
122	0.2042512564
123	0.2014284875
124	0.1992775108
125	0.196976216
126	0.1941174818
127	0.1916831878
128	0.1892664345
129	0.1874282898
130	0.185651831
131	0.1838692917
132	0.1814592871
133	0.1796069878
134	0.1783187278
135	0.1764650383
136	0.1743766604
137	0.1727864312
138	0.1716766062
139	0.1704644572
140	0.1695185778
141	0.1680106346
142	0.1659810049
143	0.1650128807
144	0.1637968542
145	0.1626877423
146	0.1608678285
147	0.1595771336
148	0.1579676557
149	0.1571897248
150	0.1552717766
151	0.1539177998
152	0.1528062905
153	0.1518215723
154	0.1505475569
155	0.1496764744
156	0.1485030044
157	0.1472166373
158	0.1462466859
159	0.1451751481
160	0.1443052073
161	0.1433044566
162	0.1421393304
163	0.1409105012
164	0.1397569065
165	0.1388991403
166	0.1378644912
167	0.1368380175
168	0.1359538295
169	0.1348777862
170	0.1335498793
171	0.1327779469
172	0.1318200772
173	0.1308730018
174	0.1299982965
175	0.1291150227
176	0.1281266251
177	0.1269728168
178	0.1262049973
