iter	Passed	Remaining
407	6212	9013
408	6226	8996
409	6241	8981
410	6256	8966
411	6271	8950
412	6285	8933
413	6299	8916
414	6313	8900
415	6329	8885
416	6342	8867
417	6355	8849
418	6370	8833
419	6384	8817
420	6400	8802
421	6415	8787
422	6430	8771
423	6446	8757
424	6459	8739
425	6473	8723
426	6487	8706
427	6500	8688
428	6515	8672
429	6527	8652
430	6542	8636
431	6555	8619
432	6569	8602
433	6584	8586
434	6597	8568
435	6610	8550
436	6623	8533
437	6636	8515
438	6651	8499
439	6665	8483
440	6679	8466
441	6692	8449
442	6707	8433
443	6723	8419
444	6739	8405
445	6753	8388
446	6767	8372
447	6781	8356
448	6797	8341
449	6811	8325
450	6825	8309
451	6841	8294
452	6857	8280
453	6871	8264
454	6886	8248
455	6899	8230
456	6914	8215
457	6927	8198
458	6941	8181
459	6955	8165
460	6969	8148
461	6983	8131
462	6996	8114
463	7010	8098
464	7025	8082
465	7039	8066
466	7053	8050
467	7068	8034
468	7082	8018
469	7096	8002
470	7108	7984
471	7122	7967
472	7136	7951
473	7150	7935
474	7164	7918
475	7177	7901
476	7190	7883
477	7204	7867
478	7218	7851
479	7232	7835
480	7246	7818
481	7258	7801
482	7272	7784
483	7285	7767
484	7299	7751
485	7311	7733
486	7325	7716
487	7338	7699
488	7352	7683
489	7366	7667
490	7380	7650
491	7392	7633
492	7406	7616
493	7418	7598
494	7432	7582
495	7444	7565
496	7459	7549
497	7473	7533
498	7487	7517
499	7500	7500
500	7512	7482
501	7527	7467
502	7541	7452
503	7554	7434
504	7568	7418
505	7581	7401
506	7594	7384
507	7607	7368
508	7621	7351
509	7635	7335
510	7648	7319
511	7662	7303
512	7676	7287
513	7689	7271
514	7702	7253
515	7717	7238
516	7731	7222
517	7745	7207
518	7758	7190
519	7771	7173
520	7783	7156
521	7797	7139
522	7810	7123
523	7824	7107
524	7840	7093
525	7856	7079
526	7870	7064
527	7885	7049
528	7900	7033
529	7915	7019
530	7930	7004
531	7944	6988
532	7959	6974
533	7975	6959
534	7989	6943
535	8003	6928
536	8017	6913
537	8033	6898
538	8047	6883
539	8063	6868
540	8078	6853
541	8092	6838
542	8107	6823
543	8121	6807
544	8134	6791
545	8148	6775
546	8161	6759
547	8174	6742
548	8188	6727
549	8204	6712
550	8218	6697
551	8234	6683
552	8250	6669
553	8267	6655
554	8280	6639
555	8294	6623
556	8309	6608
557	8324	6593
558	8338	6578
559	8373	6579
560	8391	6566
561	8405	6550
562	8417	6533
563	8431	6517
564	8445	6502
565	8459	6486
566	8471	6469
567	8485	6453
568	8500	6438
569	8513	6422
570	8527	6407
571	8542	6391
572	8559	6378
573	8574	6363
574	8587	6347
575	8602	6332
576	8616	6316
577	8629	6300
578	8645	6286
579	8661	6271
580	8673	6255
581	8687	6239
582	8699	6222
583	8714	6207
584	8727	6191
585	8740	6174
586	8754	6159
587	8766	6142
588	8779	6126
589	8793	6110
590	8806	6094
591	8819	6078
592	8832	6062
593	8848	6047
594	8861	6031
595	8876	6016
596	8889	6000
597	8904	5986
598	8921	5972
599	8938	5958
600	8955	5945
601	8969	5929
602	8985	5916
603	9002	5902
604	9016	5886
605	9044	5880
606	9060	5866
607	9076	5852
608	9093	5838
609	9108	5823
610	9123	5808
611	9138	5793
612	9150	5777
613	9165	5762
614	9178	5745
615	9192	5730
616	9207	5715
617	9221	5699
618	9234	5684
619	9248	5668
620	9261	5652
621	9275	5636
622	9290	5621
623	9303	5606
624	9318	5591
625	9332	5575
626	9346	5560
627	9359	5544
628	9374	5529
629	9389	5514
630	9403	5498
631	9417	5483
632	9429	5467
633	9443	5451
634	9459	5437
635	9474	5422
636	9491	5408
637	9505	5393
638	9520	5378
639	9534	5363
640	9551	5349
641	9565	5334
642	9580	5319
643	9596	5304
644	9611	5289
645	9623	5273
646	9637	5258
647	9651	5242
648	9668	5228
649	9683	5213
650	9697	5198
651	9712	5184
652	9726	5168
653	9739	5152
654	9753	5137
655	9767	5122
656	9781	5106
657	9794	5090
658	9807	5075
659	9822	5060
660	9836	5044
661	9850	5029
662	9865	5014
663	9880	4999
664	9894	4984
665	9908	4969
666	9922	4954
667	9937	4939
668	9951	4923
669	9963	4907
670	9977	4892
671	9992	4877
672	10004	4861
673	10018	4845
674	10032	4830
675	10045	4814
676	10059	4799
677	10074	4784
678	10088	4769
679	10102	4754
680	10116	4739
681	10130	4723
682	10145	4708
683	10161	4694
684	10181	4682
685	10198	4668
686	10217	4655
687	10237	4642
688	10256	4629
689	10277	4617
690	10294	4603
691	10314	4590
692	10333	4577
693	10351	4564
694	10367	4549
695	10380	4534
696	10396	4519
697	10409	4503
698	10425	4489
699	10440	4474
700	10454	4459
701	10469	4444
702	10485	4430
703	10501	4415
704	10515	4400
705	10532	4386
706	10547	4371
707	10561	4355
708	10577	4341
709	10592	4326
710	10609	4312
711	10624	4297
712	10639	4282
713	10654	4267
714	10670	4253
715	10686	4238
716	10701	4223
717	10717	4209
718	10733	4195
719	10749	4180
720	10765	4165
721	10780	4151
722	10795	4136
723	10810	4121
724	10826	4106
725	10840	4091
726	10854	4076
727	10869	4061
728	10884	4046
729	10899	4031
730	10914	4016
731	10929	4001
732	10947	3987
733	10963	3973
734	10978	3958
735	10994	3943
736	11011	3929
737	11028	3915
738	11045	3900
739	11062	3886
740	11078	3872
741	11094	3857
742	11110	3842
743	11127	3828
744	11145	3814
745	11163	3800
746	11181	3787
747	11198	3772
748	11215	3758
749	11231	3743
750	11246	3728
751	11259	3713
752	11273	3697
753	11288	3682
754	11300	3667
755	11315	3652
756	11329	3636
757	11341	3620
758	11354	3605
759	11368	3590
760	11381	3574
761	11396	3559
762	11409	3544
763	11423	3528
764	11436	3513
765	11450	3498
766	11465	3483
767	11481	3468
768	11496	3453
769	11510	3438
770	11523	3422
771	11537	3407
772	11552	3392
773	11567	3377
774	11581	3362
775	11594	3346
776	11609	3331
777	11624	3316
778	11636	3301
779	11650	3286
780	11664	3270
781	11679	3255
782	11694	3240
783	11707	3225
784	11720	3210
785	11735	3195
786	11749	3179
787	11763	3164
788	11776	3149
789	11788	3133
790	11801	3118
791	11814	3102
792	11828	3087
793	11841	3072
794	11854	3056
795	11868	3041
796	11881	3026
797	11894	3010
798	11908	2995
799	11922	2980
800	11936	2965
801	11949	2950
802	11963	2935
803	11977	2919
804	11991	2904
805	12004	2889
806	12017	2874
807	12031	2858
808	12044	2843
809	12058	2828
810	12072	2813
811	12087	2798
812	12100	2783
813	12114	2768
814	12128	2753
815	12141	2737
816	12155	2722
817	12171	2707
818	12185	2693
819	12198	2677
820	12210	2662
821	12224	2647
822	12237	2631
823	12249	2616
824	12263	2601
825	12277	2586
826	12291	2571
827	12305	2556
828	12319	2541
829	12332	2526
830	12345	2510
831	12359	2495
832	12372	2480
833	12385	2465
834	12398	2450
835	12412	2435
836	12425	2419
837	12438	2404
838	12452	2389
839	12465	2374
840	12480	2359
841	12493	2344
842	12506	2329
843	12519	2313
844	12531	2298
845	12544	2283
846	12557	2268
847	12571	2253
848	12584	2238
849	12598	2223
850	12611	2208
851	12624	2192
852	12638	2178
853	12653	2163
854	12667	2148
855	12682	2133
856	12697	2118
857	12712	2103
858	12726	2089
859	12740	2073
860	12754	2059
861	12767	2043
862	12781	2029
863	12794	2013
864	12808	1999
865	12823	1984
866	12837	1969
867	12851	1954
868	12865	1939
869	12880	1924
870	12894	1909
871	12907	1894
872	12921	1879
873	12934	1864
874	12947	1849
875	12961	1834
876	12974	1819
877	12988	1804
878	13001	1789
879	13015	1774
880	13028	1759
881	13041	1744
882	13054	1729
883	13068	1714
884	13083	1700
885	13097	1685
886	13109	1670
887	13123	1655
888	13138	1640
889	13150	1625
890	13163	1610
891	13178	1595
892	13193	1580
893	13207	1565
894	13220	1551
895	13236	1536
896	13252	1521
897	13268	1507
898	13285	1492
899	13302	1478
900	13317	1463
901	13333	1448
902	13348	1433
903	13364	1419
904	13379	1404
905	13395	1389
906	13411	1375
907	13427	1360
908	13441	1345
909	13456	1330
910	13470	1315
911	13487	1301
912	13504	1286
913	13521	1272
914	13538	1257
915	13555	1243
916	13569	1228
917	13584	1213
918	13598	1198
919	13611	1183
920	13625	1168
921	13640	1153
922	13653	1139
923	13667	1124
924	13683	1109
925	13697	1094
926	13712	1079
927	13726	1064
928	13739	1050
929	13752	1035
930	13765	1020
931	13779	1005
932	13792	990
933	13805	975
934	13818	960
935	13830	945
936	13843	930
937	13856	915
938	13871	901
939	13886	886
940	13899	871
941	13912	856
942	13924	841
943	13936	826
944	13949	811
945	13961	796
946	13974	782
947	13987	767
948	14002	752
949	14015	737
950	14028	722
951	14040	707
952	14053	693
953	14066	678
954	14081	663
955	14096	648
956	14108	633
957	14121	619
958	14135	604
959	14154	589
960	14168	575
961	14185	560
962	14201	545
963	14219	531
964	14234	516
965	14251	501
966	14266	486
967	14282	472
968	14299	457
969	14315	442
970	14332	428
971	14349	413
972	14365	398
973	14382	383
974	14398	369
975	14414	354
976	14430	339
977	14448	325
978	14464	310
979	14479	295
980	14496	280
981	14511	265
982	14528	251
983	14546	236
984	14561	221
985	14575	206
986	14588	192
987	14601	177
988	14615	162
989	14628	147
990	14641	132
991	14656	118
992	14669	103
993	14685	88
994	14698	73
995	14712	59
996	14725	44
997	14739	29
998	14752	14
999	14765	0
